star_id,star_name,teff_k,mass_solar,radius_solar,metallicity_fe_h,distance_pc,ra_deg,dec_deg,num_planets
323,Kepler-102,4909.0,0.803,0.724,0.11,107.796,281.4824731,47.2078263,5
324,Kepler-103,6047.0,1.212,1.492,0.15,494.832,288.9845512,40.0644857,2
325,Kepler-107,5854.0,1.238,1.447,0.321,525.997,297.028162,48.2086019,4
326,Kepler-109,5950.0,1.094,1.387,-0.02,474.861,290.3926795,40.2849074,2
327,Kepler-11,5663.0,0.961,1.065,,646.346,297.1150949,41.9091092,6
328,Kepler-111,5914.0,1.118,1.145,0.237,657.223,291.653163,44.6882613,2
329,Kepler-117,6150.0,1.129,1.606,-0.04,1455.57,288.7930651,48.040176,2
330,Kepler-12,5947.0,1.166,1.483,0.07,881.386,286.2434458,50.0403671,1
331,Kepler-129,5770.0,1.178,1.653,0.29,408.845,285.3111845,47.8484775,3
332,Kepler-138,3841.0,0.535,0.535,-0.18,66.8624,290.3814122,43.2930645,4
333,Kepler-15,5515.0,1.018,0.992,0.36,739.412,296.2005506,49.1400304,1
334,Kepler-1514,6145.0,1.196,1.289,0.119,397.292,292.6274943,37.8601653,2
335,Kepler-16,4450.0,0.6897,0.6489,-0.3,75.0852,289.0758307,51.757229,1
336,Kepler-1647,6210.0,1.2207,1.7903,-0.14,1212.45,298.150057,40.6561751,1
337,Kepler-1654,5597.0,1.011,1.179,-0.088,568.117,282.1856949,44.4344617,1
338,Kepler-1655,6148.0,1.03,1.03,-0.24,213.26,286.6895986,39.2120802,1
339,Kepler-1658,6216.0,1.447,2.891,-0.18,788.238,294.3565559,38.9473424,1
340,Kepler-1661,5100.0,0.841,0.762,-0.12,410.607,285.1670927,41.9669383,1
341,Kepler-167,4884.0,0.777,0.749,0.02,341.908,292.6585253,38.3455558,4
342,Kepler-17,5781.0,1.04,1.01034,0.26,720.753,298.3952437,47.8149865,1
343,Kepler-1704,5746.0,1.132,1.697,0.196,835.455,291.2012559,51.1442437,1
344,Kepler-1708,6157.0,1.088,1.117,0.0,1666.69,296.8241065,43.6248197,1
345,Kepler-18,5345.0,0.972,1.108,0.19,433.047,298.0794448,44.746248,3
346,Kepler-1876,6104.0,1.187,1.477,0.01,259.935,299.1604859,41.1437964,1
347,Kepler-19,5541.0,0.936,0.859,-0.13,218.562,290.4209694,37.8516556,3
